Web Search interest: fleek; apricity; lithe; revergent; cadine
Canada; Past 7 days

Interest over time
Time,fleek,apricity,lithe,revergent,cadine
2015-08-27-12:00 UTC,7,0,0,0,0
2015-08-27-13:00 UTC,19,0,1,0,1
2015-08-27-14:00 UTC,9,1,1,0,0
2015-08-27-15:00 UTC,17,1,1,0,0
2015-08-27-16:00 UTC,19,1,2,0,0
2015-08-27-17:00 UTC,16,1,2,0,0
2015-08-27-18:00 UTC,19,1,1,0,0
2015-08-27-19:00 UTC,16,3,3,0,0
2015-08-27-20:00 UTC,15,1,2,0,0
2015-08-27-21:00 UTC,18,1,2,0,1
2015-08-27-22:00 UTC,12,1,2,0,1
2015-08-27-23:00 UTC,19,1,2,0,0
2015-08-28-00:00 UTC,29,2,2,0,0
2015-08-28-01:00 UTC,28,2,1,0,0
2015-08-28-02:00 UTC,21,3,4,0,0
2015-08-28-03:00 UTC,20,3,11,0,0
2015-08-28-04:00 UTC,24,4,8,0,0
2015-08-28-05:00 UTC,34,0,6,0,0
2015-08-28-06:00 UTC,35,0,10,0,0
2015-08-28-07:00 UTC,27,0,14,0,0
2015-08-28-08:00 UTC,28,0,19,0,0
2015-08-28-09:00 UTC,17,0,3,0,0
2015-08-28-10:00 UTC,10,0,3,0,0
2015-08-28-11:00 UTC,15,0,3,0,0
2015-08-28-12:00 UTC,9,0,3,0,0
2015-08-28-13:00 UTC,15,0,3,0,0
2015-08-28-14:00 UTC,20,0,0,0,0
2015-08-28-15:00 UTC,11,1,0,0,0
2015-08-28-16:00 UTC,14,0,0,0,0
2015-08-28-17:00 UTC,15,0,0,0,0
2015-08-28-18:00 UTC,10,0,0,0,0
2015-08-28-19:00 UTC,15,0,0,0,0
2015-08-28-20:00 UTC,10,0,0,0,0
2015-08-28-21:00 UTC,20,0,1,0,0
2015-08-28-22:00 UTC,26,1,2,0,0
2015-08-28-23:00 UTC,22,1,6,0,0
2015-08-29-00:00 UTC,14,1,1,0,0
2015-08-29-01:00 UTC,17,1,1,0,1
2015-08-29-02:00 UTC,33,1,1,0,0
2015-08-29-03:00 UTC,21,2,3,0,0
