Web Search interest: phoropter; slickle; hubris; peristeronic; salient
Canada; Past 7 days

Interest over time
Time,phoropter,slickle,hubris,peristeronic,salient
2015-08-27-12:00 UTC,0,0,10,0,10
2015-08-27-13:00 UTC,4,0,26,0,19
2015-08-27-14:00 UTC,3,0,3,0,25
2015-08-27-15:00 UTC,3,0,23,0,23
2015-08-27-16:00 UTC,3,0,20,0,6
2015-08-27-17:00 UTC,3,0,8,0,16
2015-08-27-18:00 UTC,3,0,14,0,22
2015-08-27-19:00 UTC,3,0,3,0,11
2015-08-27-20:00 UTC,0,0,25,0,11
2015-08-27-21:00 UTC,0,0,24,0,18
2015-08-27-22:00 UTC,0,0,13,0,9
2015-08-27-23:00 UTC,0,0,23,0,13
2015-08-28-00:00 UTC,0,0,19,0,9
2015-08-28-01:00 UTC,0,0,25,0,9
2015-08-28-02:00 UTC,0,0,17,0,10
2015-08-28-03:00 UTC,0,0,16,0,16
2015-08-28-04:00 UTC,0,0,22,0,22
2015-08-28-05:00 UTC,0,0,23,0,23
2015-08-28-06:00 UTC,0,0,36,0,12
2015-08-28-07:00 UTC,0,0,37,0,37
2015-08-28-08:00 UTC,0,0,25,0,8
2015-08-28-09:00 UTC,0,0,34,0,8
2015-08-28-10:00 UTC,0,0,42,0,8
2015-08-28-11:00 UTC,0,0,16,0,8
2015-08-28-12:00 UTC,0,0,36,0,8
2015-08-28-13:00 UTC,0,0,50,0,8
2015-08-28-14:00 UTC,0,0,13,0,7
2015-08-28-15:00 UTC,0,0,36,0,12
2015-08-28-16:00 UTC,0,0,21,0,9
2015-08-28-17:00 UTC,0,0,29,0,17
2015-08-28-18:00 UTC,0,0,37,0,14
2015-08-28-19:00 UTC,3,0,15,0,17
2015-08-28-20:00 UTC,3,0,9,0,12
2015-08-28-21:00 UTC,3,0,16,0,10
2015-08-28-22:00 UTC,0,0,10,0,7
2015-08-28-23:00 UTC,0,0,21,0,7
2015-08-29-00:00 UTC,0,0,17,0,14
2015-08-29-01:00 UTC,0,0,10,0,17
2015-08-29-02:00 UTC,0,0,19,0,4
2015-08-29-03:00 UTC,0,0,22,0,22
2015-08-29-04:00 UTC,0,0,33,0,11
2015-08-29-05:00 UTC,7,0,30,0,15
2015-08-29-06:00 UTC,0,0,22,0,11
2015-08-29-07:00 UTC,0,0,23,0,34
2015-08-29-08:00 UTC,0,0,24,0,24
2015-08-29-09:00 UTC,0,0,27,0,19
2015-08-29-10:00 UTC,0,0,19,0,19
2015-08-29-11:00 UTC,0,0,21,0,23
2015-08-29-12:00 UTC,0,0,5,0,27
2015-08-29-13:00 UTC,0,0,5,0,15
2015-08-29-14:00 UTC,0,0,21,0,13
2015-08-29-15:00 UTC,0,0,16,0,27
2015-08-29-16:00 UTC,0,0,19,0,7
2015-08-29-17:00 UTC,0,0,22,0,18
2015-08-29-18:00 UTC,0,0,22,0,11
2015-08-29-19:00 UTC,0,0,7,0,15
2015-08-29-20:00 UTC,0,0,18,0,7
2015-08-29-21:00 UTC,0,0,11,0,7
2015-08-29-22:00 UTC,0,0,15,0,7
2015-08-29-23:00 UTC,0,0,11,0,11
2015-08-30-00:00 UTC,0,0,39,0,4
2015-08-30-01:00 UTC,0,0,22,0,8
2015-08-30-02:00 UTC,0,0,15,0,12
2015-08-30-03:00 UTC,0,0,40,0,9
2015-08-30-04:00 UTC,0,0,28,0,17
2015-08-30-05:00 UTC,0,0,38,0,15
2015-08-30-06:00 UTC,0,0,55,0,22
2015-08-30-07:00 UTC,0,0,50,0,24
2015-08-30-08:00 UTC,0,0,28,0,27
2015-08-30-09:00 UTC,0,0,28,0,29
2015-08-30-10:00 UTC,0,0,28,0,12
2015-08-30-11:00 UTC,0,0,28,0,12
2015-08-30-12:00 UTC,0,0,28,0,10
2015-08-30-13:00 UTC,0,0,16,0,10
2015-08-30-14:00 UTC,0,0,26,0,13
2015-08-30-15:00 UTC,4,0,31,0,16
2015-08-30-16:00 UTC,4,0,26,0,11
2015-08-30-17:00 UTC,4,0,18,0,15
2015-08-30-18:00 UTC,4,0,11,0,18
2015-08-30-19:00 UTC,4,0,18,0,14
2015-08-30-20:00 UTC,4,0,25,0,11
2015-08-30-21:00 UTC,3,0,14,0,7
2015-08-30-22:00 UTC,3,0,24,0,6
2015-08-30-23:00 UTC,3,0,16,0,6
2015-08-31-00:00 UTC,4,0,22,0,6
2015-08-31-01:00 UTC,4,0,15,0,9
2015-08-31-02:00 UTC,5,0,30,0,20
2015-08-31-03:00 UTC,5,0,4,0,8
2015-08-31-04:00 UTC,5,0,54,0,16
2015-08-31-05:00 UTC,0,0,47,0,20
2015-08-31-06:00 UTC,0,0,24,0,24
2015-08-31-07:00 UTC,0,0,19,0,38
2015-08-31-08:00 UTC,0,0,26,0,43
2015-08-31-09:00 UTC,0,0,27,0,48
2015-08-31-10:00 UTC,0,0,29,0,52
2015-08-31-11:00 UTC,0,0,8,0,56
2015-08-31-12:00 UTC,0,0,15,0,10
2015-08-31-13:00 UTC,0,0,11,0,4
2015-08-31-14:00 UTC,0,0,3,0,6
2015-08-31-15:00 UTC,0,0,11,0,17
2015-08-31-16:00 UTC,0,0,16,0,22
2015-08-31-17:00 UTC,3,0,18,0,21
2015-08-31-18:00 UTC,3,0,8,0,26
2015-08-31-19:00 UTC,3,0,18,0,13
2015-08-31-20:00 UTC,5,0,19,0,24
2015-08-31-21:00 UTC,3,0,14,0,17
2015-08-31-22:00 UTC,3,0,9,0,30
2015-08-31-23:00 UTC,3,0,3,0,6
2015-09-01-00:00 UTC,3,0,26,0,9
2015-09-01-01:00 UTC,3,0,14,0,6
2015-09-01-02:00 UTC,0,0,6,0,6
2015-09-01-03:00 UTC,0,0,16,0,12
2015-09-01-04:00 UTC,0,0,27,0,5
2015-09-01-05:00 UTC,0,0,31,0,8
2015-09-01-06:00 UTC,0,0,49,0,33
2015-09-01-07:00 UTC,0,0,39,0,58
2015-09-01-08:00 UTC,0,0,26,0,52
2015-09-01-09:00 UTC,0,0,14,0,46
2015-09-01-10:00 UTC,0,0,14,0,8
2015-09-01-11:00 UTC,0,0,23,0,8
2015-09-01-12:00 UTC,0,0,5,0,20
2015-09-01-13:00 UTC,0,0,15,0,15
2015-09-01-14:00 UTC,0,0,13,0,13
2015-09-01-15:00 UTC,3,0,26,0,11
2015-09-01-16:00 UTC,3,0,6,0,20
2015-09-01-17:00 UTC,3,0,8,0,22
2015-09-01-18:00 UTC,3,0,16,0,22
2015-09-01-19:00 UTC,3,0,8,0,13
2015-09-01-20:00 UTC,0,0,19,0,22
2015-09-01-21:00 UTC,0,0,12,0,18
2015-09-01-22:00 UTC,0,0,9,0,15
2015-09-01-23:00 UTC,0,0,15,0,15
2015-09-02-00:00 UTC,0,0,12,0,18
2015-09-02-01:00 UTC,0,0,27,0,9
2015-09-02-02:00 UTC,0,0,16,0,3
2015-09-02-03:00 UTC,0,0,36,0,8
2015-09-02-04:00 UTC,0,0,16,0,11
2015-09-02-05:00 UTC,0,0,32,0,8
2015-09-02-06:00 UTC,0,0,26,0,26
2015-09-02-07:00 UTC,0,0,40,0,60
2015-09-02-08:00 UTC,0,0,54,0,27
2015-09-02-09:00 UTC,0,0,24,0,24
2015-09-02-10:00 UTC,0,0,14,14,14
2015-09-02-11:00 UTC,0,16,31,8,10
2015-09-02-12:00 UTC,0,10,25,15,10
2015-09-02-13:00 UTC,7,19,22,26,30
2015-09-02-14:00 UTC,13,22,31,9,19
2015-09-02-15:00 UTC,12,32,26,29,49
2015-09-02-16:00 UTC,17,20,31,17,62
2015-09-02-17:00 UTC,11,5,11,14,27
2015-09-02-18:00 UTC,8,13,24,5,24
2015-09-02-19:00 UTC,13,11,16,11,29
2015-09-02-20:00 UTC,16,11,19,16,30
2015-09-02-21:00 UTC,9,9,15,6,47
2015-09-02-22:00 UTC,6,12,24,3,15
2015-09-02-23:00 UTC,3,3,15,3,15
2015-09-03-00:00 UTC,3,3,24,9,41
2015-09-03-01:00 UTC,9,6,15,6,30
2015-09-03-02:00 UTC,3,10,23,3,27
2015-09-03-03:00 UTC,8,8,37,4,37
2015-09-03-04:00 UTC,5,11,33,11,44
2015-09-03-05:00 UTC,8,32,40,24,40
2015-09-03-06:00 UTC,13,46,26,26,38
2015-09-03-07:00 UTC,20,60,40,40,100
